标题长度	链接	视频	图片	艾特	时间	话题	星期	min_min 	min_max	min_mean	max_min	max_max	max_mean	mean_min	mean_max	mean_mean	popular
19	0	0	9	0	781	0	1	505	7005	1756	359	104171	4627	456	5563	2074	1
16	0	0	9	0	745	1	1	375	1120	747	897	6423	2866	798	2602	1632	1
18	0	0	9	0	715	1	1	445	445	445	297	9538	2799	147	37189	2347	1
17	0	0	9	0	689	0	1	400	2467	1241	1167	6568	2979	237	18367	1640	0
32	0	0	1	0	655	0	1	261	876	473	113	268284	3615	261	8804	1720	0
18	0	0	2	0	633	0	1	587	1931	1259	226	23390	3762	378	21036	2122	1
13	0	0	9	0	976	1	0	208	37189	1706	1848	50971	26409	1150	100712	23809	1
22	0	0	4	0	950	0	0	942	1751	1026	362	11495	3361	125	3399	1382	0
15	0	0	2	0	929	0	0	297	943	615	162	2986	900	162	2986	709	0
11	0	0	9	0	894	1	0	237	50105	2612	1115	268284	31188	212	268284	13685	1
11	1	0	9	0	864	1	0	460	6108	2855	52	50105	4380	188	26335	3960	1
16	0	0	9	0	837	0	0	262	4631	1024	208	104171	3630	52	26198	1943	1
12	1	0	9	0	789	1	0	279	3661	1349	801	11179	4167	152	51074	2390	1
22	0	0	6	0	757	0	0	618	2388	1299	218	18839	2755	247	14234	2302	1
20	0	0	9	1	732	0	0	584	1378	995	1374	7308	2706	174	14112	2338	1
16	0	0	1	0	716	0	0	180	6568	1033	216	23474	5541	187	18916	1752	0
20	0	0	1	0	689	0	0	405	3118	1522	12048	12048	12048	880	12048	3485	1
22	0	0	6	0	660	1	0	296	28785	2260	6685	6685	6685	982	11535	4473	1
26	0	0	9	0	599	1	0	318	3893	1764	752	268284	25728	296	28785	2260	1
11	0	0	1	0	569	1	0	1977	1977	1977	668	140765	14297	52	268284	3746	1
15	0	0	1	0	716	1	6	361	361	361	237	50105	2612	361	3879	1677	0
18	0	1	2	0	692	0	6	208	5244	930	5533	13612	9572	286	28968	2669	0
15	0	0	1	0	650	0	6	712	3232	1555	90	268284	5747	292	29363	2981	1
24	0	0	1	0	630	0	6	361	522	441	3840	3840	3840	522	2635	1314	1
10	0	0	6	0	569	0	6	289	6925	1359	52	50105	4380	52	50105	4380	1
11	0	0	2	0	541	1	6	813	2785	1799	2698	33997	16712	626	6695	2746	1
21	0	0	9	0	521	0	6	633	968	808	462	268284	9700	381	3824	2269	1
19	0	0	0	0	488	0	6	201	7601	1228	201	104171	3255	147	37189	2347	0
4	0	0	1	0	450	1	6	1144	1144	1144	1144	1144	1144	1144	1144	1144	0
20	1	0	2	0	420	1	6	170	1773	790	311	140765	8153	2698	2698	2698	1
17	0	0	0	1	1411	0	5	378	5345	1558	639	25376	3624	783	12048	3237	1
10	0	0	9	0	1375	0	5	201	856	543	110	36410	1477	306	2936	1239	0
16	0	0	9	0	1344	0	5	1554	1601	1577	90	268284	5747	661	6607	3098	1
14	0	0	9	1	1308	0	5	289	6925	1359	193	50105	6755	52	50105	4380	1
14	0	0	6	1	460	0	5	215	17742	3153	6779	14188	10483	795	14188	5319	1
11	0	0	9	0	440	1	5	52	268284	3746	10579	10579	10579	10579	10579	10579	1
13	1	0	2	0	420	1	5	286	724	456	626	22500	4980	178	34265	3647	1
22	0	0	6	0	52	1	5	294	294	294	1122	7368	3762	201	104171	3255	1
16	1	0	6	0	1439	1	4	294	294	294	1122	7368	3404	484	6990	2931	1
23	0	0	1	0	1409	0	4	63	2320	484	52	268284	3746	242	6755	1313	0
11	1	0	9	0	1379	1	4	311	2231	1033	570	8465	2502	559	4879	2299	0
20	0	0	6	1	1351	0	4	201	12888	1753	257	50105	8437	293	11206	4674	1
20	0	0	6	0	1319	0	4	387	748	567	2725	6015	4370	914	5300	2737	1
30	0	0	1	0	1290	1	4	732	732	732	379	35427	6798	272	8372	1686	1
25	0	0	1	0	1239	1	4	418	2038	1102	222	24246	2739	311	6381	1539	1
13	0	0	1	0	1222	1	4	554	26198	3381	2039	26198	9244	211	40260	4603	1
12	0	0	1	0	1215	1	4	218	7847	1207	992	5227	3109	316	9821	2262	1
19	0	0	1	0	1211	1	4	190	4452	866	680	26198	3713	200	11685	1688	1
23	0	0	9	0	1194	0	4	1723	2088	1905	1718	40893	7955	1090	11622	4913	1
10	0	0	9	0	440	1	4	515	3910	1510	154	100712	6983	154	100712	6983	1
12	0	0	9	0	420	0	4	793	793	793	319	17969	3751	306	40832	3493	0
13	0	0	9	0	1439	0	3	208	2298	1472	1315	4576	2467	368	7964	1968	1
20	0	0	9	0	1419	0	3	1113	1113	1113	52	268284	3746	744	2545	1644	1
25	0	0	9	0	1392	0	3	262	1672	901	170	9803	3002	200	11685	1688	0
10	0	0	4	0	1370	0	3	147	18916	1005	187	18916	1752	90	23474	1376	0
18	0	1	0	0	1355	0	3	979	979	489	211	40260	4603	713	5227	1923	0
19	0	0	6	1	1331	0	3	157	24642	3031	278	31164	5801	449	31164	4856	1
13	0	0	4	0	1303	1	3	637	637	637	5968	5968	5968	189	8573	1352	0
11	0	0	9	0	1286	1	3	201	856	543	134	11708	1820	110	36410	1477	0
17	0	0	0	0	1263	1	3	744	4208	1321	5896	5896	5896	830	5186	2651	1
23	0	0	6	0	1235	0	3	178	34170	3243	476	50105	6957	311	24642	3623	1
14	0	0	1	0	1200	0	3	667	667	667	266	18161	1863	266	1708	903	0
28	0	0	9	0	1174	0	3	491	498	494	271	140765	5475	286	3352	1198	0
9	0	0	4	0	1149	0	3	1092	3050	1380	198	140765	5615	248	25687	3435	1
26	0	0	9	0	460	0	3	189	31164	2023	346	17239	5477	663	17239	4061	1
8	0	0	6	0	440	1	3	169	3824	1259	90	12915	2113	1348	1348	1348	1
8	1	0	1	0	420	1	3	341	13422	3085	198	34173	3410	227	14986	3197	1
17	0	1	0	0	1414	0	2	650	690	670	403	28968	4212	302	5544	1979	0
12	0	0	9	0	1386	0	2	261	9529	1605	272	65209	6665	275	11585	2224	1
17	0	0	2	0	1369	0	2	919	1792	1355	380	15961	3455	346	27200	3015	0
17	0	0	9	0	1346	0	2	242	771	481	278	31164	5801	278	22500	2831	0
11	0	0	9	0	1322	0	2	237	50105	2612	1115	268284	31188	212	268284	13685	1
12	0	0	9	0	1302	0	2	154	3634	872	110	11708	1204	110	11708	1204	0
25	0	0	9	0	1272	0	2	242	771	481	113	268284	3615	208	2662	922	0
27	0	0	4	0	1249	1	2	429	3051	975	2087	12915	7501	249	25100	1665	1
10	0	0	0	0	1223	1	2	1386	1746	1566	237	24642	3739	556	7394	2045	1
